,ROAD_NO,SPEED_LIMIT,LONGITUDE,LATITUDE,CRASH_DATE,CRASH_TIME,SEVERITY,TOTAL_BIKE_INVOLVED,TOTAL_TRUCK_INVOLVED,TOTAL_HEAVY_TRUCK_INVOLVED,TOTAL_MOTOR_CYCLE_INVOLVED,TOTAL_OTHER_VEHICLES_INVOLVED,TOTAL_PEDESTRIANS_INVOLVED,CRASH_YEAR
7817,H023,70.0,116.012886,-32.147305,16/5/17,1330.0,Medical,0,0,0,0,1,0,17.0
7819,H035,60.0,115.852546,-31.931701,17/5/17,920.0,Medical,0,0,0,0,1,0,17.0
7820,H002,60.0,115.788279,-32.12743,17/5/17,1545.0,Medical,0,0,0,0,2,0,17.0
7821,1140001,60.0,115.904677,-32.013123,17/5/17,1715.0,Hospital,0,0,0,0,2,0,17.0
7822,1040044,60.0,115.935102,-32.096587,17/5/17,1350.0,Medical,0,0,0,1,1,0,17.0
7824,1240038,40.0,115.858103,-31.951231,17/5/17,1800.0,Medical,0,0,0,0,2,0,17.0
7825,H027,70.0,115.975009,-32.003694,17/5/17,630.0,Hospital,0,0,0,0,2,0,17.0
7828,1300287,60.0,115.846627,-31.936418,17/5/17,1830.0,Medical,0,0,0,0,2,0,17.0
7830,1050004,60.0,115.812373,-32.251538,18/5/17,1245.0,Medical,0,0,0,0,2,0,17.0
7831,1050004,60.0,115.812292,-32.245548,18/5/17,1500.0,Medical,0,0,0,0,2,0,17.0
7833,H014,40.0,115.755092,-32.016696,18/5/17,20.0,Medical,0,0,0,0,1,0,17.0
7834,1090655,60.0,115.924768,-31.858773,18/5/17,645.0,Medical,0,0,0,0,2,0,17.0
7835,H035,60.0,115.852651,-31.94014,18/5/17,830.0,Medical,0,0,0,0,3,0,17.0
7836,H012,60.0,115.846803,-32.046113,18/5/17,1730.0,Medical,0,0,0,0,3,0,17.0
7837,1311665,70.0,115.767555,-31.752378,18/5/17,1815.0,Hospital,0,0,0,0,3,0,17.0
7838,H005,60.0,115.90706,-31.955836,18/5/17,1320.0,Medical,0,0,0,0,2,0,17.0
7839,1010860,60.0,115.999247,-32.128667,18/5/17,2150.0,Medical,0,0,0,0,2,0,17.0
7843,1250088,60.0,115.815328,-31.905649,18/5/17,700.0,Medical,0,0,0,0,2,0,17.0
7844,H013,60.0,115.846897,-32.013858,18/5/17,800.0,Medical,0,0,0,0,2,0,17.0
7846,H038,70.0,115.820709,-32.22766,18/5/17,745.0,Hospital,0,0,0,1,1,0,17.0
7847,H029,60.0,115.689255,-31.634093,18/5/17,859.0,Medical,0,0,0,0,1,0,17.0
7848,H026,60.0,115.965978,-31.899384,18/5/17,2300.0,Medical,0,0,0,0,1,0,17.0
7850,H013,60.0,115.785929,-32.035957,19/5/17,1115.0,Medical,0,0,0,0,1,0,17.0
7852,6040118,50.0,121.891268,-33.86168,19/5/17,1320.0,Medical,0,0,0,0,1,1,17.0
7853,H015,80.0,115.857494,-32.01658,19/5/17,910.0,Medical,0,0,0,0,3,0,17.0
7854,1220001,60.0,115.802339,-31.964269,19/5/17,1925.0,Medical,0,0,0,0,2,0,17.0
7855,1250052,60.0,115.866827,-31.917026,19/5/17,825.0,Medical,0,0,0,0,2,0,17.0
7856,H035,60.0,115.852651,-31.94014,19/5/17,900.0,Medical,0,1,0,0,1,0,17.0
7857,H012,60.0,115.795864,-32.048684,19/5/17,715.0,Medical,0,0,0,0,2,0,17.0
7860,H012,60.0,115.929167,-31.99429,19/5/17,1730.0,Medical,0,0,0,0,2,0,17.0
7861,1091438,60.0,115.909287,-31.838662,19/5/17,1800.0,Medical,0,0,0,0,2,0,17.0
7862,H033,60.0,116.049855,-31.854379,19/5/17,915.0,Medical,0,0,0,0,2,0,17.0
7863,H006,50.0,116.014046,-31.864203,19/5/17,820.0,Medical,0,0,0,0,2,0,17.0
7864,1251738,60.0,115.866333,-31.868665,19/5/17,1510.0,Medical,0,0,0,0,2,0,17.0
7865,H035,60.0,115.852542,-31.928929,19/5/17,1815.0,Medical,0,0,0,0,2,0,17.0
7866,H012,60.0,115.883947,-32.034562,19/5/17,1600.0,Medical,0,0,0,0,2,0,17.0
7867,H015,80.0,115.859483,-32.132407,19/5/17,1050.0,Medical,0,0,0,0,2,0,17.0
7868,H045,40.0,115.916759,-33.280021,19/5/17,520.0,Medical,0,0,0,0,2,0,17.0
7869,1250077,60.0,115.866713,-31.892787,19/5/17,1650.0,Medical,0,0,0,0,2,0,17.0
7870,1090698,60.0,115.876783,-31.835041,19/5/17,1530.0,Medical,0,0,0,0,3,0,17.0
7872,5050424,50.0,114.625721,-28.738467,19/5/17,1251.0,Hospital,0,0,0,0,2,0,17.0
7873,H005,60.0,116.019259,-31.89283,19/5/17,1430.0,Medical,0,0,0,0,2,0,17.0
7874,129Z016,,115.89863,-31.961223,19/5/17,1920.0,Hospital,0,0,0,1,0,0,17.0
7875,1250077,60.0,115.877963,-31.902542,20/5/17,1530.0,Medical,0,0,0,0,2,0,17.0
7877,3020607,60.0,117.722723,-35.008058,20/5/17,45.0,Hospital,0,0,0,0,1,0,17.0
7878,H014,40.0,115.76201,-31.999126,20/5/17,1220.0,Medical,0,0,0,0,2,0,17.0
7879,H032,60.0,115.819452,-32.068658,20/5/17,1800.0,Medical,0,0,0,0,2,1,17.0
7880,H005,60.0,115.939667,-31.933303,20/5/17,2350.0,Hospital,0,0,0,0,2,0,17.0
7881,M024,60.0,116.979883,-34.500183,20/5/17,1930.0,Hospital,0,0,0,0,1,0,17.0
7882,1180005,60.0,115.754963,-32.055122,20/5/17,1605.0,Medical,0,0,0,0,1,0,17.0
7887,5050008,50.0,114.616156,-28.765632,21/5/17,955.0,Medical,0,0,0,0,1,0,17.0
7888,2080215,80.0,115.77454,-33.382893,21/5/17,1000.0,Hospital,0,0,0,2,0,0,17.0
7890,H028,60.0,115.787168,-31.882363,21/5/17,1305.0,Medical,0,0,0,0,2,0,17.0
7891,H012,60.0,115.865525,-32.047128,21/5/17,1525.0,Medical,0,0,0,0,2,0,17.0
7893,1030007,60.0,115.8114,-32.128511,21/5/17,2055.0,Medical,0,0,0,0,1,0,17.0
7894,H005,60.0,116.328144,-31.829661,22/5/17,227.0,Hospital,0,0,0,0,1,0,17.0
7895,1240103,40.0,115.846066,-31.959778,22/5/17,1850.0,Medical,0,0,0,0,1,1,17.0
7897,1250052,60.0,115.877075,-31.920745,22/5/17,1410.0,Hospital,0,0,0,0,1,0,17.0
7898,1250059,60.0,115.867828,-31.901803,22/5/17,1725.0,Medical,0,0,0,0,2,0,17.0
7899,H017,70.0,115.969974,-31.97585,22/5/17,540.0,Medical,0,0,0,0,2,0,17.0
7900,H006,50.0,116.014631,-31.85335,22/5/17,700.0,Medical,0,0,0,0,1,0,17.0
7902,H016,80.0,115.800778,-31.876183,22/5/17,720.0,Medical,0,0,0,0,2,0,17.0
7903,H016,80.0,115.818749,-31.899865,22/5/17,1815.0,Medical,0,0,0,0,2,0,17.0
7907,1100254,70.0,115.829305,-31.733484,22/5/17,1921.0,Medical,0,0,0,0,2,0,17.0
7908,H032,60.0,115.83283,-32.063937,23/5/17,55.0,Hospital,0,0,0,0,1,0,17.0
7910,H027,70.0,115.913662,-31.967249,23/5/17,14.0,Fatal,0,0,0,0,1,0,17.0
7912,1280569,60.0,115.809655,-31.940785,23/5/17,1045.0,Medical,0,0,0,0,2,0,17.0
7913,1250069,30.0,115.76909,-31.893956,23/5/17,845.0,Medical,0,0,0,0,2,0,17.0
7917,1130002,60.0,115.972516,-31.98223,23/5/17,942.0,Medical,0,0,0,0,1,0,17.0
7919,6020047,50.0,121.670085,-31.20316,23/5/17,156.0,Hospital,0,0,0,1,0,0,17.0
7921,1250088,60.0,115.816916,-31.904448,23/5/17,1540.0,Medical,0,0,0,0,3,0,17.0
7922,H016,80.0,115.814197,-31.897143,23/5/17,630.0,Medical,0,0,0,0,2,0,17.0
7923,H005,60.0,116.018547,-31.892703,23/5/17,1100.0,Medical,0,0,0,0,2,0,17.0
7924,H027,70.0,115.993394,-32.00746,23/5/17,1520.0,Medical,0,0,0,0,2,0,17.0
7925,1250025,70.0,115.794699,-31.915248,23/5/17,1745.0,Medical,0,0,0,0,4,0,17.0
7926,1250059,60.0,115.877523,-31.875687,23/5/17,1400.0,Medical,0,0,0,0,2,0,17.0
7929,H015,80.0,115.850935,-31.98369,24/5/17,1730.0,Medical,0,0,0,0,3,0,17.0
7931,H011,60.0,128.718743,-15.784616,24/5/17,2002.0,Hospital,0,0,0,0,1,0,17.0
7932,M001,50.0,118.333694,-33.918239,24/5/17,640.0,Hospital,0,0,1,0,1,0,17.0
7933,H675,60.0,115.8446,-31.940943,24/5/17,1505.0,Medical,0,0,0,0,1,0,17.0
7935,H035,60.0,115.844805,-31.907894,24/5/17,830.0,Medical,0,0,0,0,2,0,17.0
7938,1240096,60.0,115.836879,-31.951578,24/5/17,915.0,Medical,0,0,0,0,3,0,17.0
7939,1312151,70.0,115.744561,-31.726727,24/5/17,1430.0,Medical,0,0,0,0,2,0,17.0
7940,1250052,60.0,115.866827,-31.917026,24/5/17,1510.0,Hospital,0,0,0,0,5,0,17.0
7941,M033,70.0,116.564037,-31.624684,25/5/17,1228.0,Hospital,0,0,0,0,0,0,17.0
7943,1120006,60.0,115.903143,-31.903669,25/5/17,1800.0,Medical,0,0,0,0,2,0,17.0
7945,H015,80.0,115.847182,-31.963097,25/5/17,1820.0,Medical,0,0,0,0,2,0,17.0
7947,H001,50.0,116.114624,-32.198333,25/5/17,2015.0,Medical,0,1,0,0,1,0,17.0
7949,H036,60.0,115.766488,-31.983982,25/5/17,1410.0,Medical,0,0,0,0,2,0,17.0
7950,H016,80.0,115.82271,-31.909075,25/5/17,1815.0,Medical,0,0,0,0,2,0,17.0
7951,1040044,60.0,115.940625,-32.091856,25/5/17,640.0,Medical,0,0,0,0,2,0,17.0
7952,1020006,60.0,116.010426,-31.989071,25/5/17,1635.0,Medical,0,0,0,0,1,1,17.0
7953,2070218,40.0,116.056982,-33.254573,25/5/17,415.0,Medical,0,0,0,0,1,0,17.0
7955,4070183,90.0,117.064306,-31.373522,25/5/17,1811.0,Hospital,0,1,0,0,0,0,17.0
7956,H011,60.0,128.537812,-15.788314,25/5/17,1950.0,Hospital,0,0,0,0,1,0,17.0
7957,H013,60.0,115.859551,-32.005747,25/5/17,1600.0,Medical,0,0,0,0,3,0,17.0
7958,H016,80.0,115.801713,-31.888326,25/5/17,730.0,Medical,0,0,0,0,2,0,17.0
7959,H015,80.0,115.852876,-32.113255,25/5/17,655.0,Medical,0,0,1,2,0,0,17.0
7960,H013,60.0,115.843075,-32.015596,25/5/17,730.0,Medical,0,0,0,0,2,0,17.0
7961,H035,60.0,115.825384,-31.856756,25/5/17,840.0,Medical,0,0,0,0,2,0,17.0
7963,1040002,60.0,115.933892,-32.057721,25/5/17,1645.0,Medical,0,0,0,0,3,0,17.0
7964,1020002,70.0,116.008464,-32.004297,25/5/17,840.0,Medical,0,0,0,0,3,0,17.0
7965,H001,50.0,117.86373,-35.001819,25/5/17,1700.0,Medical,0,0,0,1,0,1,17.0
7966,H016,80.0,115.823084,-31.912197,26/5/17,1330.0,Medical,0,0,0,0,2,0,17.0
7968,H005,60.0,115.948318,-31.927996,26/5/17,750.0,Medical,0,0,0,0,2,0,17.0
7969,2040092,60.0,115.654698,-33.340458,26/5/17,1500.0,Medical,0,0,0,0,3,0,17.0
7970,H012,60.0,115.929167,-31.99429,26/5/17,800.0,Medical,0,0,0,0,2,0,17.0
7971,H017,70.0,115.956779,-32.147599,26/5/17,1810.0,Medical,0,0,0,0,2,0,17.0
7972,1070005,70.0,115.741784,-32.291797,26/5/17,1719.0,Medical,0,0,0,0,3,0,17.0
7973,2030363,60.0,116.067321,-33.987061,26/5/17,2020.0,Hospital,0,0,0,0,1,0,17.0
7976,M031,50.0,117.408332,-33.493622,26/5/17,1425.0,Medical,0,0,0,0,1,0,17.0
7977,H032,60.0,115.783827,-32.063244,26/5/17,1959.0,Hospital,1,0,0,0,1,0,17.0
7978,M035,50.0,117.143937,-20.756802,26/5/17,1410.0,Hospital,0,0,0,0,1,0,17.0
7982,H035,60.0,115.816736,-31.799799,27/5/17,945.0,Medical,0,0,0,0,2,0,17.0
7983,1070003,60.0,115.742906,-32.320068,27/5/17,1915.0,Medical,0,0,0,0,2,0,17.0
7984,M043,60.0,115.151454,-33.636305,27/5/17,1111.0,Medical,0,0,0,0,3,0,17.0
7985,H012,60.0,115.822322,-32.046135,27/5/17,1505.0,Medical,0,0,0,0,2,0,17.0
7986,H035,60.0,115.830834,-31.871279,27/5/17,800.0,Medical,0,0,0,0,2,0,17.0
7987,1010247,60.0,115.99071,-32.14432,27/5/17,740.0,Medical,0,0,0,0,1,0,17.0
7989,H051,60.0,118.619692,-20.314953,27/5/17,,Hospital,0,0,0,0,1,0,17.0
7990,1100250,60.0,115.802014,-31.707988,27/5/17,750.0,Hospital,1,0,0,0,1,0,17.0
7991,1190003,60.0,115.814751,-32.061308,28/5/17,1730.0,Medical,0,0,0,0,2,0,17.0
7994,H015,80.0,115.849373,-32.09905,28/5/17,1230.0,Medical,0,0,0,0,3,0,17.0
7997,H033,60.0,116.202709,-31.791316,29/5/17,850.0,Medical,0,0,0,0,2,0,17.0
7998,1120005,60.0,115.924341,-31.888927,29/5/17,730.0,Medical,0,0,0,0,2,0,17.0
8000,1311900,70.0,115.806506,-31.820515,29/5/17,745.0,Medical,0,0,0,0,2,0,17.0
8001,1240038,40.0,115.85702,-31.953566,29/5/17,1630.0,Medical,0,0,0,0,1,0,17.0
8002,1120003,60.0,115.888026,-31.900666,29/5/17,1845.0,Medical,0,0,0,0,2,0,17.0
8005,1140001,60.0,115.911327,-32.012638,29/5/17,1535.0,Medical,0,0,0,0,4,0,17.0
8006,H028,60.0,115.861046,-31.889573,29/5/17,1015.0,Medical,0,0,0,0,1,0,17.0
8007,H001,50.0,115.893625,-31.969963,29/5/17,915.0,Medical,0,0,0,0,3,0,17.0
8010,H015,80.0,115.847306,-31.971705,29/5/17,1620.0,Medical,0,0,0,0,2,0,17.0
8011,1141013,70.0,115.92297,-32.044725,29/5/17,1817.0,Medical,0,0,0,0,1,1,17.0
8012,6051006,50.0,121.45468,-30.746103,29/5/17,1556.0,Medical,0,0,0,0,1,0,17.0
8014,M031,50.0,117.046899,-32.473675,29/5/17,730.0,Fatal,0,0,0,0,1,0,17.0
8015,H004,60.0,114.878096,-29.08459,29/5/17,1900.0,Fatal,0,0,0,0,1,0,17.0
8018,1090701,70.0,115.891726,-31.828694,30/5/17,800.0,Medical,0,0,0,0,2,0,17.0
8020,1280307,60.0,115.820066,-31.926665,30/5/17,1305.0,Medical,0,0,0,0,2,0,17.0
8021,3021001,50.0,117.883563,-35.024878,30/5/17,1640.0,Medical,0,0,0,0,1,0,17.0
8023,1090318,70.0,116.049917,-31.838239,30/5/17,1730.0,Medical,0,1,0,0,1,0,17.0
8024,3020152,70.0,117.878807,-34.991579,30/5/17,1105.0,Medical,0,0,0,0,2,0,17.0
8026,1311287,60.0,115.733422,-31.799504,30/5/17,1544.0,Hospital,1,0,0,0,1,0,17.0
8027,1091114,60.0,116.013524,-31.886127,30/5/17,1200.0,Medical,0,0,0,0,2,0,17.0
8028,1260006,60.0,115.881249,-31.988772,30/5/17,920.0,Medical,0,0,0,0,1,0,17.0
8029,8130117,50.0,118.605116,-20.402714,30/5/17,1150.0,Hospital,0,0,0,0,1,0,17.0
8031,1280308,60.0,115.811663,-31.934349,31/5/17,1700.0,Medical,0,0,0,0,2,0,17.0
8033,1250069,30.0,115.798417,-31.902749,31/5/17,805.0,Medical,0,0,0,0,2,0,17.0
8034,H016,80.0,115.773779,-31.765691,31/5/17,635.0,Medical,0,0,0,0,2,0,17.0
8036,1280001,60.0,115.792339,-31.935909,31/5/17,2200.0,Medical,0,0,0,0,2,0,17.0
8037,H001,50.0,115.940938,-32.024609,31/5/17,1740.0,Medical,0,0,0,0,2,0,17.0
8038,H029,60.0,115.696746,-31.649692,31/5/17,615.0,Hospital,0,0,0,0,1,0,17.0
8039,1140061,70.0,115.893343,-32.046257,31/5/17,746.0,Hospital,0,0,0,1,1,0,17.0
8041,1270002,70.0,115.827819,-31.955388,31/5/17,1200.0,Medical,0,0,0,0,2,0,17.0
8042,1040003,60.0,115.962354,-32.056846,31/5/17,800.0,Medical,0,0,0,0,2,0,17.0
8043,1250059,60.0,115.877414,-31.876606,1/6/17,1435.0,Medical,0,0,0,0,3,0,17.0
8044,H001,50.0,115.898318,-31.973069,1/6/17,1550.0,Medical,0,0,0,0,2,1,17.0
8045,1180005,60.0,115.761214,-32.075637,1/6/17,900.0,Medical,0,0,0,0,3,0,17.0
8046,1020006,60.0,116.00031,-31.990345,1/6/17,1600.0,Medical,0,0,0,0,2,0,17.0
8047,H026,60.0,115.906047,-31.926954,1/6/17,1620.0,Medical,0,0,0,0,2,0,17.0
8048,H012,60.0,115.815713,-32.046237,1/6/17,1705.0,Medical,0,0,0,0,2,0,17.0
8049,H018,70.0,115.972221,-32.021376,1/6/17,1725.0,Medical,0,0,0,0,1,0,17.0
8050,1031007,60.0,115.8549,-32.152406,1/6/17,1800.0,Medical,0,0,0,0,3,0,17.0
8051,H015,80.0,115.846164,-31.968651,1/6/17,900.0,Medical,0,0,0,0,2,0,17.0
8052,1120763,40.0,115.884424,-31.935872,1/6/17,1120.0,Medical,1,0,0,0,1,0,17.0
8054,1250069,30.0,115.798417,-31.902749,1/6/17,1050.0,Medical,0,0,0,0,1,0,17.0
8055,H017,70.0,115.997043,-32.008137,1/6/17,1620.0,Medical,0,0,0,0,3,0,17.0
8056,H036,60.0,115.751934,-32.017907,1/6/17,1555.0,Medical,0,0,0,0,1,0,17.0
8057,1311900,70.0,115.765426,-31.817115,1/6/17,1030.0,Medical,0,0,0,0,2,0,17.0
8058,1101403,70.0,115.837316,-31.83426,1/6/17,600.0,Medical,0,0,0,0,1,1,17.0
8061,M074,70.0,115.740388,-32.545351,1/6/17,1759.0,Hospital,0,0,0,1,1,0,17.0
8062,H069,70.0,115.897656,-31.795749,1/6/17,,Hospital,0,0,0,0,1,0,17.0
8064,H021,70.0,115.815979,-31.857817,2/6/17,1805.0,Hospital,0,0,0,0,3,0,17.0
8067,1250069,30.0,115.792101,-31.900481,2/6/17,800.0,Medical,0,0,0,0,2,0,17.0
8068,H405,70.0,115.358462,-33.663343,2/6/17,1415.0,Medical,0,0,0,0,2,0,17.0
8069,H021,70.0,115.81733,-31.858054,2/6/17,1800.0,Medical,0,0,0,0,4,0,17.0
8070,H016,80.0,115.849087,-31.95774,2/6/17,635.0,Medical,0,0,0,0,1,0,17.0
8071,1250129,60.0,115.855172,-31.854074,2/6/17,1740.0,Medical,0,0,0,0,2,0,17.0
8072,H035,60.0,115.851913,-31.942065,2/6/17,1550.0,Hospital,0,0,0,0,4,0,17.0
8073,H057,60.0,115.742623,-33.294662,2/6/17,1658.0,Medical,0,0,0,0,1,0,17.0
8074,H018,70.0,116.02831,-31.886042,2/6/17,1800.0,Medical,0,0,0,0,2,0,17.0
8075,H053,50.0,116.974134,-33.009697,2/6/17,1730.0,Medical,0,0,0,0,1,0,17.0
8076,H028,60.0,115.811585,-31.887263,2/6/17,1717.0,Fatal,0,0,0,0,2,0,17.0
8077,H002,60.0,115.777159,-32.381612,2/6/17,1522.0,Hospital,0,0,0,0,2,0,17.0
8078,6055086,60.0,121.488755,-30.785545,2/6/17,1130.0,Medical,0,0,0,0,2,0,17.0
8079,1091438,60.0,115.904795,-31.84927,3/6/17,1457.0,Hospital,0,0,0,0,0,0,17.0
8080,1250050,60.0,115.877885,-31.928145,3/6/17,2142.0,Medical,0,0,0,0,2,0,17.0
8081,1300280,40.0,115.858758,-31.934754,3/6/17,1600.0,Hospital,0,0,0,0,2,0,17.0
8083,M031,50.0,117.645512,-33.932023,3/6/17,1922.0,Medical,0,0,0,0,1,0,17.0
8084,1240026,40.0,115.858787,-31.947586,3/6/17,510.0,Medical,0,0,0,0,1,1,17.0
8085,6055087,60.0,121.487115,-30.762299,3/6/17,1325.0,Hospital,0,0,0,1,1,0,17.0
8086,1010001,60.0,115.916098,-32.115467,3/6/17,1900.0,Hospital,0,0,0,1,1,0,17.0
8090,H014,40.0,115.768728,-31.988826,4/6/17,104.0,Medical,0,0,0,0,1,0,17.0
8091,H035,60.0,115.803536,-31.752258,4/6/17,1541.0,Medical,0,0,0,0,1,1,17.0
8093,2070015,100.0,116.022937,-33.250603,4/6/17,600.0,Hospital,0,0,0,0,1,0,17.0
8096,M031,50.0,116.81413,-31.850982,4/6/17,1108.0,Hospital,0,0,0,0,1,0,17.0
8097,8120194,50.0,119.743417,-23.356696,4/6/17,2350.0,Hospital,0,0,0,1,1,1,17.0
8098,1010001,60.0,115.922319,-32.161555,5/6/17,1017.0,Hospital,0,0,0,0,3,0,17.0
8099,H006,50.0,116.192701,-31.131035,5/6/17,1455.0,Hospital,0,0,0,0,1,0,17.0
8100,M045,50.0,115.482916,-31.250165,5/6/17,1400.0,Hospital,0,0,0,0,3,0,17.0
8101,H007,50.0,114.624773,-28.763863,5/6/17,1050.0,Hospital,0,0,0,0,1,0,17.0
8102,H057,60.0,115.692885,-33.330435,5/6/17,800.0,Medical,0,0,0,0,1,0,17.0
8107,M045,50.0,115.461335,-31.212427,5/6/17,1245.0,Fatal,0,0,0,0,2,0,17.0
8108,M037,40.0,119.124543,-33.097006,6/6/17,1248.0,Hospital,0,0,0,0,1,0,17.0
8109,1050003,70.0,115.812501,-32.255631,6/6/17,830.0,Medical,0,0,0,0,2,0,17.0
8110,1251885,60.0,115.808097,-31.911067,6/6/17,1812.0,Medical,0,0,0,1,1,0,17.0
8111,1040077,60.0,115.99839,-32.036375,6/6/17,625.0,Hospital,0,0,0,1,1,0,17.0
8112,1250025,70.0,115.793475,-31.918147,6/6/17,820.0,Medical,0,0,0,0,5,1,17.0
8115,H015,80.0,115.856157,-32.196504,6/6/17,1730.0,Medical,0,0,0,0,2,0,17.0
8116,H026,60.0,115.876803,-31.947973,6/6/17,115.0,Hospital,0,0,0,0,2,0,17.0
8117,H001,50.0,117.865283,-35.003136,6/6/17,1345.0,Medical,0,0,1,0,1,0,17.0
8118,H035,60.0,115.820935,-31.822258,6/6/17,930.0,Medical,0,0,0,0,2,0,17.0
8119,1040003,60.0,115.966356,-32.061156,6/6/17,1124.0,Hospital,0,0,0,1,1,0,17.0
8120,H023,70.0,116.014514,-32.148214,6/6/17,1650.0,Medical,0,0,0,0,1,1,17.0
8121,H021,70.0,115.935157,-31.862023,7/6/17,15.0,Hospital,0,0,0,0,2,0,17.0
8122,H017,70.0,115.917293,-31.864856,7/6/17,754.0,Hospital,0,0,0,0,2,0,17.0
8123,H001,50.0,115.881993,-31.964247,7/6/17,754.0,Medical,0,0,0,0,2,0,17.0
8127,H035,60.0,115.689588,-31.580108,7/6/17,915.0,Medical,0,0,0,0,1,0,17.0
8128,1311287,60.0,115.796416,-31.800286,7/6/17,1515.0,Medical,0,0,0,0,2,0,17.0
8129,H001,50.0,115.924032,-32.007984,7/6/17,1140.0,Medical,0,0,0,1,1,0,17.0
8130,H001,50.0,116.008548,-32.078221,7/6/17,1815.0,Hospital,0,0,0,0,2,0,17.0
8131,1020997,70.0,115.988368,-31.950995,7/6/17,1825.0,Medical,0,0,0,0,2,0,17.0
8132,1030953,60.0,115.838984,-32.12567,7/6/17,1545.0,Medical,0,0,0,0,2,0,17.0
8133,H029,60.0,115.737165,-31.73061,7/6/17,1645.0,Medical,0,0,0,0,2,0,17.0
8134,1130008,60.0,115.92194,-31.93849,7/6/17,1800.0,Medical,1,0,0,0,0,0,17.0
8135,6052039,60.0,121.483102,-30.766504,7/6/17,1210.0,Medical,0,0,0,1,0,0,17.0
8137,H016,80.0,115.797937,-31.849703,7/6/17,715.0,Medical,0,1,0,0,1,0,17.0
8139,H710,70.0,115.836647,-32.293704,8/6/17,1120.0,Medical,0,0,0,0,2,0,17.0
8141,H016,80.0,115.800992,-31.867854,8/6/17,1550.0,Medical,0,0,0,1,0,0,17.0
8143,1180027,40.0,115.742309,-32.055487,8/6/17,1110.0,Medical,0,0,0,0,1,0,17.0
8144,H027,70.0,115.926728,-31.978589,8/6/17,1330.0,Medical,0,1,0,0,1,0,17.0
8145,6054002,50.0,121.476961,-30.781863,8/6/17,1830.0,Medical,0,0,0,1,0,0,17.0
8147,3021007,40.0,117.888047,-35.017633,8/6/17,835.0,Medical,1,0,0,0,0,0,17.0
8148,1101403,70.0,115.840344,-31.834513,8/6/17,855.0,Medical,0,0,0,0,1,0,17.0
8150,1110123,60.0,115.94215,-31.907339,8/6/17,1455.0,Medical,0,0,0,0,1,0,17.0
8151,H007,50.0,113.984274,-24.482401,8/6/17,400.0,Hospital,0,0,0,0,1,0,17.0
8157,1070024,60.0,115.736075,-32.298818,9/6/17,1233.0,Hospital,0,0,0,0,0,0,17.0
8158,H001,50.0,117.421502,-34.190488,9/6/17,1445.0,Hospital,0,1,0,0,1,0,17.0
8160,1240007,60.0,115.828676,-31.954872,9/6/17,2021.0,Hospital,0,0,0,1,0,0,17.0
8161,H035,60.0,115.797644,-31.742758,9/6/17,1645.0,Medical,0,0,0,0,2,0,17.0
8162,1100168,60.0,115.854355,-31.820966,9/6/17,1300.0,Medical,0,1,0,0,2,0,17.0
8163,1141104,70.0,115.912848,-32.084561,9/6/17,810.0,Medical,0,0,0,0,3,0,17.0
8164,1010021,70.0,115.930827,-32.100209,9/6/17,820.0,Medical,0,0,0,0,1,0,17.0
8165,H035,60.0,115.830834,-31.871279,9/6/17,720.0,Medical,0,0,0,1,1,0,17.0
8166,H057,60.0,115.727574,-33.094522,9/6/17,1600.0,Medical,0,0,0,0,1,0,17.0
8167,1120017,60.0,115.905013,-31.882295,9/6/17,,Fatal,0,0,0,1,1,0,17.0
8169,H012,60.0,115.877374,-32.038907,9/6/17,1745.0,Hospital,0,0,0,1,4,0,17.0
8170,1250088,60.0,115.818524,-31.903257,9/6/17,1730.0,Medical,0,0,0,0,2,0,17.0
8171,1300227,40.0,115.859556,-31.943511,9/6/17,1345.0,Medical,0,0,0,0,2,0,17.0
8172,1300277,40.0,115.870925,-31.936409,9/6/17,1400.0,Medical,0,0,0,0,2,0,17.0
8174,4230005,110.0,116.874876,-32.536484,10/6/17,1059.0,Hospital,0,0,0,3,0,0,17.0
8175,H036,60.0,115.758094,-31.913731,10/6/17,1725.0,Medical,0,0,0,0,1,0,17.0
8177,1300282,40.0,115.860289,-31.939511,10/6/17,1530.0,Medical,0,0,0,0,2,0,17.0
8178,1120014,60.0,115.888855,-31.875535,10/6/17,1715.0,Medical,0,0,0,0,2,0,17.0
8181,1280307,60.0,115.819862,-31.940756,10/6/17,1730.0,Hospital,0,0,0,1,0,0,17.0
8182,H007,50.0,114.350366,-26.105466,10/6/17,900.0,Hospital,0,0,0,0,1,0,17.0
8183,H028,60.0,115.765462,-31.873915,10/6/17,1245.0,Medical,0,0,0,0,2,0,17.0
8184,H006,50.0,127.954018,-17.479251,10/6/17,1400.0,Hospital,0,0,0,1,1,0,17.0
8185,M074,70.0,115.746975,-32.528305,11/6/17,1945.0,Medical,0,0,0,0,2,0,17.0
8187,H005,60.0,116.143195,-31.899838,11/6/17,40.0,Medical,0,0,0,0,1,1,17.0
8188,H032,60.0,115.801666,-32.065571,11/6/17,1100.0,Medical,0,0,0,1,1,0,17.0
8189,1040002,60.0,115.926131,-32.072047,11/6/17,1300.0,Medical,0,0,0,0,2,0,17.0
8190,M009,70.0,116.767773,-20.635082,11/6/17,945.0,Hospital,0,0,0,1,0,0,17.0
8191,M074,70.0,115.756895,-32.506823,11/6/17,748.0,Hospital,0,0,0,0,1,0,17.0
